"journal_name","issn","e_issn","category","edition","total_citations","impact_factor_2023","jif_quartile","jci_2023","percent_oa_gold"
"Chem","2451-9294","2451-9294","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","25,402","19.1","Q1","2.88","72.86"
"CLINICAL MICROBIOLOGY REVIEWS","0893-8512","1098-6618","MICROBIOLOGY","('SCIE',)","23,907","19.0","Q1","3.19","2.02"
"REPORTS ON PROGRESS IN PHYSICS","0034-4885","1361-6633","PHYSICS, MULTIDISCIPLINARY","('SCIE',)","20,914","19.0","Q1","1.71","4.88"
"Nature Metabolism","","2522-5812","ENDOCRINOLOGY & METABOLISM","('SCIE',)","9,543","18.9","Q1","4.66","25.61"
"Energy Storage Materials","2405-8297","2405-8289","('CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE', 'SCIE')","47,960","18.9","('Q1', 'Q1', 'Q1')","2.97","10.80"
"Nature Machine Intelligence","","2522-5839","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE', 'COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS')","('SCIE', 'SCIE')","9,760","18.8","('Q1', 'Q1')","3.62","20.52"
"Science Bulletin","2095-9273","2095-9281","MULTIDISCIPLINARY SCIENCES","('SCIE',)","18,154","18.8","Q1","3.37","22.64"
"SusMat","2766-8479","2692-4552","('CHEMISTRY, MULTIDISCIPLINARY', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('SCIE', 'SCIE', 'SCIE')","1,635","18.7","('Q1', 'Q1', 'Q1')","2.44","88.41"
"PROGRESS IN RETINAL AND EYE RESEARCH","1350-9462","1873-1635","OPHTHALMOLOGY","('SCIE',)","11,987","18.6","Q1","4.45","38.10"
"Journal of Advanced Ceramics","2226-4108","2227-8508","MATERIALS SCIENCE, CERAMICS","('SCIE',)","7,463","18.6","Q1","3.67","99.50"
"ADVANCED FUNCTIONAL MATERIALS","1616-301X","1616-3028","('CHEMISTRY, MULTIDISCIPLINARY', 'CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY', 'PHYSICS, APPLIED', 'PHYSICS, CONDENSED MATTER')","('SCIE', 'SCIE', 'SCIE', 'SCIE', 'SCIE', 'SCIE')","250,260","18.5","('Q1', 'Q1', 'Q1', 'Q1', 'Q1', 'Q1')","2.74","13.91"
"Psychological Science in the Public Interest","1529-1006","1539-6053","PSYCHOLOGY, MULTIDISCIPLINARY","('SSCI',)","2,770","18.2","Q1","7.26","28.57"
"Bioactive Materials","","2452-199X","('ENGINEERING, BIOMEDICAL', 'MATERIALS SCIENCE, BIOMATERIALS')","('SCIE', 'SCIE')","21,928","18.0","('Q1', 'Q1')","3.78","95.80"
"Annual Review of Clinical Psychology","1548-5943","1548-5951","('PSYCHOLOGY', 'PSYCHOLOGY, CLINICAL')","('SCIE', 'SSCI')","9,235","17.8","('Q1', 'Q1')","6.33","26.56"
"Nature Physics","1745-2473","1745-2481","PHYSICS, MULTIDISCIPLINARY","('SCIE',)","48,457","17.6","Q1","4.78","19.83"
"Science Immunology","2470-9468","2470-9468","IMMUNOLOGY","('SCIE',)","12,436","17.6","Q1","4.18","13.48"
"PERIODONTOLOGY 2000","0906-6713","1600-0757","DENTISTRY, ORAL SURGERY & MEDICINE","('SCIE',)","9,590","17.5","Q1","4.27","53.66"
"PSYCHOLOGICAL BULLETIN","0033-2909","1939-1455","('PSYCHOLOGY', 'PSYCHOLOGY, MULTIDISCIPLINARY')","('SCIE', 'SSCI')","57,102","17.3","('Q1', 'Q1')","4.84","5.10"
"Computational Visual Media","2096-0433","2096-0662","COMPUTER SCIENCE, SOFTWARE ENGINEERING","('SCIE',)","1,684","17.3","Q1","3.11","100.00"
"NATURE CELL BIOLOGY","1465-7392","1476-4679","CELL BIOLOGY","('SCIE',)","47,382","17.3","Q1","2.93","30.48"
"Matter","2590-2393","2590-2385","MATERIALS SCIENCE, MULTIDISCIPLINARY","('SCIE',)","14,249","17.3","Q1","2.46","65.71"
"TRENDS IN PLANT SCIENCE","1360-1385","1878-4372","PLANT SCIENCES","('SCIE',)","30,859","17.3","Q1","1.90","36.14"
"Advanced Fiber Materials","2524-7921","2524-793X","('MATERIALS SCIENCE, MULTIDISCIPLINARY', 'MATERIALS SCIENCE, TEXTILES')","('SCIE', 'SCIE')","4,009","17.2","('Q1', 'Q1')","3.35","6.18"
"IEEE Reviews in Biomedical Engineering","1937-3333","1941-1189","ENGINEERING, BIOMEDICAL","('SCIE',)","2,638","17.2","Q1","2.47","24.10"
"Molecular Plant","1674-2052","1752-9867","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'PLANT SCIENCES')","('SCIE', 'SCIE')","23,905","17.1","('Q1', 'Q1')","4.88","85.32"
"AMERICAN JOURNAL OF BIOETHICS","1526-5161","1536-0075","('ETHICS', 'MEDICAL ETHICS', 'SOCIAL ISSUES', 'SOCIAL SCIENCES, BIOMEDICAL')","('SSCI', 'SCIE', 'SSCI', 'SSCI')","3,420","17.0","('Q1', 'Q1', 'Q1', 'Q1')","4.04","31.17"
"Nature Aging","","2662-8465","('CELL BIOLOGY', 'GERIATRICS & GERONTOLOGY', 'NEUROSCIENCES')","('SCIE', 'SCIE', 'SCIE')","3,203","17.0","('Q1', 'Q1', 'Q1')","3.44","30.15"
"EUROPEAN JOURNAL OF HEART FAILURE","1388-9842","1879-0844","CARDIAC & CARDIOVASCULAR SYSTEMS","('SCIE',)","21,438","16.9","Q1","3.77","49.38"
"Nature Reviews Psychology","","2731-0574","PSYCHOLOGY, MULTIDISCIPLINARY","('ESCI',)","1,031","16.8","Q1","4.10","0.00"
"Wiley Interdisciplinary Reviews-Computational Molecular Science","1759-0876","1759-0884","('CHEMISTRY, MULTIDISCIPLINARY', 'MATHEMATICAL & COMPUTATIONAL BIOLOGY')","('SCIE', 'SCIE')","11,170","16.8","('Q1', 'Q1')","2.75","28.67"
"Nano Energy","2211-2855","2211-3282","('CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY', 'PHYSICS, APPLIED')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","113,862","16.8","('Q1', 'Q1', 'Q1', 'Q1')","2.74","9.78"
"INTERNATIONAL MATERIALS REVIEWS","0950-6608","1743-2804","MATERIALS SCIENCE, MULTIDISCIPLINARY","('SCIE',)","8,115","16.8","Q1","0.88","29.31"
"Military Medical Research","2095-7467","2054-9369","MEDICINE, GENERAL & INTERNAL","('SCIE',)","4,376","16.7","Q1","2.76","100.00"
"TRENDS IN COGNITIVE SCIENCES","1364-6613","1879-307X","('BEHAVIORAL SCIENCES', 'NEUROSCIENCES', 'PSYCHOLOGY, EXPERIMENTAL')","('SCIE', 'SCIE', 'SSCI')","32,732","16.7","('Q1', 'Q1', 'Q1')","2.06","43.06"
"TRENDS IN ECOLOGY & EVOLUTION","0169-5347","1872-8383","('ECOLOGY', 'EVOLUTIONARY BIOLOGY', 'GENETICS & HEREDITY')","('SCIE', 'SCIE', 'SCIE')","39,040","16.7","('Q1', 'Q1', 'Q1')","1.99","47.04"
"BEHAVIORAL AND BRAIN SCIENCES","0140-525X","1469-1825","('BEHAVIORAL SCIENCES', 'NEUROSCIENCES', 'PSYCHOLOGY, BIOLOGICAL')","('SCIE', 'SCIE', 'SSCI')","11,517","16.6","('Q1', 'Q1', 'Q1')","5.44","0.00"
"EUROPEAN RESPIRATORY JOURNAL","0903-1936","1399-3003","RESPIRATORY SYSTEM","('SCIE',)","54,345","16.6","Q1","3.72","45.13"
"NUCLEIC ACIDS RESEARCH","0305-1048","1362-4962","BIOCHEMISTRY & MOLECULAR BIOLOGY","('SCIE',)","271,360","16.6","Q1","2.90","93.75"
"CIRCULATION RESEARCH","0009-7330","1524-4571","('CARDIAC & CARDIOVASCULAR SYSTEMS', 'HEMATOLOGY', 'PERIPHERAL VASCULAR DISEASE')","('SCIE', 'SCIE', 'SCIE')","62,714","16.5","('Q1', 'Q1', 'Q1')","4.22","19.67"
"NEURO-ONCOLOGY","1522-8517","1523-5866","('CLINICAL NEUROLOGY', 'ONCOLOGY')","('SCIE', 'SCIE')","23,201","16.4","('Q1', 'Q1')","3.38","31.25"
"ACCOUNTS OF CHEMICAL RESEARCH","0001-4842","1520-4898","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","82,104","16.4","Q1","1.37","12.32"
"ACTA NUMERICA","0962-4929","1474-0508","MATHEMATICS","('SCIE',)","2,887","16.3","Q1","10.89","57.89"
"PSYCHOTHERAPY AND PSYCHOSOMATICS","0033-3190","1423-0348","('PSYCHIATRY', 'PSYCHOLOGY')","('SCIE, SSCI', 'SCIE')","6,004","16.3","('Q1', 'Q1')","3.88","47.22"
"National Science Review","2095-5138","2053-714X","MULTIDISCIPLINARY SCIENCES","('SCIE',)","15,536","16.3","Q1","3.27","93.89"
"RENEWABLE & SUSTAINABLE ENERGY REVIEWS","1364-0321","1879-0690","('ENERGY & FUELS', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY')","('SCIE', 'SCIE')","169,190","16.3","('Q1', 'Q1')","2.01","24.77"
"IEEE Geoscience and Remote Sensing Magazine","2473-2397","2168-6831","('GEOCHEMISTRY & GEOPHYSICS', 'IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY', 'REMOTE SENSING')","('SCIE', 'SCIE', 'SCIE')","4,021","16.2","('Q1', 'Q1', 'Q1')","2.72","0.91"
"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","1433-7851","1521-3773","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","467,453","16.1","Q1","2.70","23.35"
"International Journal of Extreme Manufacturing","2631-8644","2631-7990","('ENGINEERING, MANUFACTURING', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('SCIE', 'SCIE')","2,125","16.1","('Q1', 'Q1')","1.82","100.00"
"ADVANCES IN COLLOID AND INTERFACE SCIENCE","0001-8686","1873-3727","CHEMISTRY, PHYSICAL","('SCIE',)","24,485","15.9","Q1","1.71","19.36"
"Nature Plants","2055-026X","2055-0278","PLANT SCIENCES","('SCIE',)","16,103","15.8","Q1","4.44","18.73"
"Science Translational Medicine","1946-6234","1946-6242","('CELL BIOLOGY', 'MEDICINE, RESEARCH & EXPERIMENTAL')","('SCIE', 'SCIE')","50,866","15.8","('Q1', 'Q1')","3.51","7.22"
"Journal of Magnesium and Alloys","2213-9567","2213-9567","METALLURGY & METALLURGICAL ENGINEERING","('SCIE',)","11,729","15.8","Q1","2.97","97.22"
"DRUG RESISTANCE UPDATES","1368-7646","1532-2084","PHARMACOLOGY & PHARMACY","('SCIE',)","4,913","15.8","Q1","2.60","40.00"
"ACS Nano","1936-0851","1936-086X","('CHEMISTRY, MULTIDISCIPLINARY', 'CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","227,757","15.8","('Q1', 'Q1', 'Q1', 'Q1')","2.42","10.55"
"JAMA Surgery","2168-6254","2168-6262","SURGERY","('SCIE',)","17,074","15.7","Q1","5.97","9.97"
"Nature Geoscience","1752-0894","1752-0908","GEOSCIENCES, MULTIDISCIPLINARY","('SCIE',)","36,778","15.7","Q1","4.28","22.67"
"PhotoniX","","2662-1991","OPTICS","('SCIE',)","1,317","15.7","Q1","3.72","100.00"
"Annual Review of Physiology","0066-4278","1545-1585","PHYSIOLOGY","('SCIE',)","11,453","15.7","Q1","2.93","30.56"
"Chinese Journal of Catalysis","0253-9837","1872-2067","('CHEMISTRY, APPLIED', 'CHEMISTRY, PHYSICAL', 'ENGINEERING, CHEMICAL')","('SCIE', 'SCIE', 'SCIE')","17,268","15.7","('Q1', 'Q1', 'Q1')","2.54","1.63"
"Advances in Methods and Practices in Psychological Science","2515-2459","2515-2467","('PSYCHOLOGY', 'PSYCHOLOGY, MULTIDISCIPLINARY')","('SCIE', 'SSCI')","2,921","15.6","('Q1', 'Q1')","4.34","94.19"
"Journal of Innovation & Knowledge","2530-7614","2444-569X","('BUSINESS', 'MANAGEMENT')","('SSCI', 'SSCI')","4,260","15.6","('Q1', 'Q1')","3.96","96.47"
"Journal of Extracellular Vesicles","","2001-3078","CELL BIOLOGY","('SCIE',)","13,295","15.5","Q1","2.23","71.14"
"Annual Review of Environment and Resources","1543-5938","1545-2050","('ENVIRONMENTAL SCIENCES', 'ENVIRONMENTAL STUDIES')","('SCIE', 'SSCI')","7,103","15.5","('Q1', 'Q1')","1.54","90.59"
"Lancet Haematology","2352-3026","","HEMATOLOGY","('SCIE',)","7,013","15.4","Q1","3.86","14.55"
"Opto-Electronic Advances","2096-4579","2096-4579","OPTICS","('SCIE',)","2,197","15.3","Q1","3.41","98.62"
"IEEE-CAA Journal of Automatica Sinica","2329-9266","2329-9274","AUTOMATION & CONTROL SYSTEMS","('SCIE',)","8,844","15.3","Q1","2.34","0.00"
"SmartMat","2766-8525","2688-819X","('CHEMISTRY, MULTIDISCIPLINARY', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('ESCI', 'ESCI')","1,954","15.3","('Q1', 'Q1')","2.16","87.13"
"ADVANCED DRUG DELIVERY REVIEWS","0169-409X","1872-8294","PHARMACOLOGY & PHARMACY","('SCIE',)","47,365","15.2","Q1","2.33","31.54"
"AMERICAN JOURNAL OF PSYCHIATRY","0002-953X","1535-7228","PSYCHIATRY","('SCIE', 'SSCI')","38,166","15.1","Q1","3.76","0.00"
"TRENDS IN FOOD SCIENCE & TECHNOLOGY","0924-2244","1879-3053","FOOD SCIENCE & TECHNOLOGY","('SCIE',)","45,336","15.1","Q1","2.64","15.91"
"Annual Review of Medicine","0066-4219","1545-326X","MEDICINE, RESEARCH & EXPERIMENTAL","('SCIE',)","7,381","15.1","Q1","2.26","33.98"
"One Earth","2590-3330","2590-3322","('ENVIRONMENTAL SCIENCES', 'ENVIRONMENTAL STUDIES', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY')","('SCIE', 'SSCI', 'SCIE')","5,889","15.1","('Q1', 'Q1', 'Q1')","1.92","82.43"
"Lancet Rheumatology","2665-9913","2665-9913","RHEUMATOLOGY","('SCIE',)","3,211","15.0","Q1","4.58","29.21"
"Annual Review of Entomology","0066-4170","1545-4487","ENTOMOLOGY","('SCIE',)","14,708","15.0","Q1","3.69","33.33"
"eTransportation","2590-1168","2590-1168","('ENERGY & FUELS', 'ENGINEERING, ELECTRICAL & ELECTRONIC', 'TRANSPORTATION SCIENCE & TECHNOLOGY')","('SCIE', 'SCIE', 'SCIE')","3,075","15.0","('Q1', 'Q1', 'Q1')","2.32","20.23"
"Environmental Chemistry Letters","1610-3653","1610-3661","('CHEMISTRY, MULTIDISCIPLINARY', 'ENGINEERING, ENVIRONMENTAL', 'ENVIRONMENTAL SCIENCES')","('SCIE', 'SCIE', 'SCIE')","16,524","15.0","('Q1', 'Q1', 'Q1')","1.18","17.75"
"Molecular Neurodegeneration","","1750-1326","NEUROSCIENCES","('SCIE',)","9,787","14.9","Q1","3.12","100.00"
"JAMA Cardiology","2380-6583","2380-6591","CARDIAC & CARDIOVASCULAR SYSTEMS","('SCIE',)","13,191","14.8","Q1","5.60","13.44"
"KIDNEY INTERNATIONAL","0085-2538","1523-1755","UROLOGY & NEPHROLOGY","('SCIE',)","47,281","14.8","Q1","4.78","54.73"
"DIABETES CARE","0149-5992","1935-5548","ENDOCRINOLOGY & METABOLISM","('SCIE',)","75,526","14.8","Q1","3.83","2.91"
"HUMAN REPRODUCTION UPDATE","1355-4786","1460-2369","('OBSTETRICS & GYNECOLOGY', 'REPRODUCTIVE BIOLOGY')","('SCIE', 'SCIE')","13,203","14.8","('Q1', 'Q1')","3.62","33.83"
"Journal of the National Comprehensive Cancer Network","1540-1405","1540-1413","ONCOLOGY","('SCIE',)","13,192","14.8","Q1","2.80","0.64"
"Energy Material Advances","2097-1133","2692-7640","PHYSICS, APPLIED","('ESCI',)","1,031","14.8","Q1","1.89","84.47"
"Neuron","0896-6273","1097-4199","NEUROSCIENCES","('SCIE',)","99,313","14.7","Q1","3.71","81.74"
"Acta Pharmaceutica Sinica B","2211-3835","2211-3843","PHARMACOLOGY & PHARMACY","('SCIE',)","16,222","14.7","Q1","3.61","98.22"
"Information Fusion","1566-2535","1872-6305","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE', 'COMPUTER SCIENCE, THEORY & METHODS')","('SCIE', 'SCIE')","18,618","14.7","('Q1', 'Q1')","3.42","16.30"
"Nature Communications","","2041-1723","MULTIDISCIPLINARY SCIENCES","('SCIE',)","738,284","14.7","Q1","3.28","99.70"
"TRENDS IN NEUROSCIENCES","0166-2236","1878-108X","NEUROSCIENCES","('SCIE',)","21,059","14.6","Q1","2.05","42.52"
"Autophagy","1554-8627","1554-8635","CELL BIOLOGY","('SCIE',)","29,553","14.6","Q1","1.53","39.73"
"Molecular Cell","1097-2765","1097-4164","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'CELL BIOLOGY')","('SCIE', 'SCIE')","80,732","14.5","('Q1', 'Q1')","2.66","83.13"
"PROGRESS IN PARTICLE AND NUCLEAR PHYSICS","0146-6410","1873-2224","('PHYSICS, NUCLEAR', 'PHYSICS, PARTICLES & FIELDS')","('SCIE', 'SCIE')","5,397","14.5","('Q1', 'Q1')","1.58","44.33"
"Journal of the American Chemical Society","0002-7863","1520-5126","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","568,265","14.4","Q1","2.66","13.66"
"Biofuel Research Journal-BRJ","2292-8782","2292-8782","ENERGY & FUELS","('ESCI',)","1,194","14.4","Q1","1.63","97.87"
"Annual Review of Organizational Psychology and Organizational Behavior","2327-0608","2327-0616","('MANAGEMENT', 'PSYCHOLOGY, APPLIED')","('SSCI', 'SSCI')","4,929","14.3","('Q1', 'Q1')","4.10","36.73"
"Academy of Management Annals","1941-6520","1941-6067","('BUSINESS', 'MANAGEMENT')","('SSCI', 'SSCI')","9,198","14.3","('Q1', 'Q1')","3.29","0.00"
"JOURNAL OF INFECTION","0163-4453","1532-2742","INFECTIOUS DISEASES","('SCIE',)","13,934","14.3","Q1","2.81","38.14"
"Bone Research","2095-4700","2095-6231","CELL & TISSUE ENGINEERING","('SCIE',)","4,826","14.3","Q1","2.79","100.00"
"EDUCATIONAL PSYCHOLOGIST","0046-1520","1532-6985","('EDUCATION & EDUCATIONAL RESEARCH', 'PSYCHOLOGY, EDUCATIONAL')","('SSCI', 'SSCI')","7,917","14.3","('Q1', 'Q1')","2.52","14.81"
"Annual Review of Marine Science","1941-1405","1941-0611","('GEOCHEMISTRY & GEOPHYSICS', 'MARINE & FRESHWATER BIOLOGY', 'OCEANOGRAPHY')","('SCIE', 'SCIE', 'SCIE')","6,230","14.3","('Q1', 'Q1', 'Q1')","2.50","44.26"
"Trends in Cancer","2405-8025","2405-8033","ONCOLOGY","('SCIE',)","7,958","14.3","Q1","2.14","42.59"
"Advanced Science","","2198-3844","('CHEMISTRY, MULTIDISCIPLINARY', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE', 'SCIE')","79,296","14.3","('Q1', 'Q1', 'Q1')","2.07","75.32"
"TRENDS IN BIOTECHNOLOGY","0167-7799","1879-3096","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","('SCIE',)","19,565","14.3","Q1","1.62","30.83"
"Annual Review of Condensed Matter Physics","1947-5454","1947-5462","PHYSICS, CONDENSED MATTER","('SCIE',)","4,659","14.3","Q1","1.10","70.59"
"STUDIES IN MYCOLOGY","0166-0616","1872-9797","MYCOLOGY","('SCIE',)","4,581","14.1","Q1","4.94","47.06"
"INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE","0890-6955","1879-2170","('ENGINEERING, MANUFACTURING', 'ENGINEERING, MECHANICAL')","('SCIE', 'SCIE')","16,687","14.0","('Q1', 'Q1')","2.88","25.00"
"Accounts of Materials Research","","2643-6728","('CHEMISTRY, MULTIDISCIPLINARY', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('ESCI', 'ESCI')","3,420","14.0","('Q1', 'Q1')","2.48","5.23"
"IEEE Transactions on Intelligent Vehicles","2379-8858","2379-8904","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE', 'ENGINEERING, ELECTRICAL & ELECTRONIC', 'TRANSPORTATION SCIENCE & TECHNOLOGY')","('SCIE', 'SCIE', 'SCIE')","5,936","14.0","('Q1', 'Q1', 'Q1')","2.44","6.87"
"Clinical and Molecular Hepatology","2287-2728","2287-285X","GASTROENTEROLOGY & HEPATOLOGY","('SCIE',)","3,344","14.0","Q1","2.26","99.41"
"Environmental Science and Ecotechnology","2666-4984","2666-4984","('ENVIRONMENTAL SCIENCES', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY')","('SCIE', 'SCIE')","1,837","14.0","('Q1', 'Q1')","2.09","98.16"
"Journal of Energy Chemistry","2095-4956","2095-4956","('CHEMISTRY, APPLIED', 'CHEMISTRY, PHYSICAL', 'ENERGY & FUELS', 'ENGINEERING, CHEMICAL')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","34,236","14.0","('Q1', 'Q1', 'Q1', 'Q1')","2.01","6.24"
"PROGRESS IN LIPID RESEARCH","0163-7827","1873-2194","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'NUTRITION & DIETETICS')","('SCIE', 'SCIE')","7,497","14.0","('Q1', 'Q1')","1.66","45.36"
"TRENDS IN MICROBIOLOGY","0966-842X","1878-4380","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'MICROBIOLOGY')","('SCIE', 'SCIE')","18,267","14.0","('Q1', 'Q1')","1.53","36.25"
"Trends in Chemistry","","2589-5974","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","5,139","14.0","Q1","1.09","22.50"
"Nature Ecology & Evolution","2397-334X","2397-334X","('ECOLOGY', 'EVOLUTIONARY BIOLOGY')","('SCIE', 'SCIE')","18,917","13.9","('Q1', 'Q1')","3.85","25.73"
"TRENDS IN PHARMACOLOGICAL SCIENCES","0165-6147","1873-3735","PHARMACOLOGY & PHARMACY","('SCIE',)","14,644","13.9","Q1","1.99","40.59"
"Small Structures","","2688-4062","('CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE', 'SCIE')","5,122","13.9","('Q1', 'Q1', 'Q1')","1.41","56.19"
"Aggregate","","2692-4560","('CHEMISTRY, MULTIDISCIPLINARY', 'CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('ESCI', 'ESCI', 'ESCI')","3,131","13.9","('Q1', 'Q1', 'Q1')","1.38","91.38"
"IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","0733-8716","1558-0008","('ENGINEERING, ELECTRICAL & ELECTRONIC', 'TELECOMMUNICATIONS')","('SCIE', 'SCIE')","24,401","13.8","('Q1', 'Q1')","3.67","15.02"
"Microbiome","2049-2618","2049-2618","MICROBIOLOGY","('SCIE',)","23,500","13.8","Q1","3.12","100.00"
"CLINICAL PSYCHOLOGY REVIEW","0272-7358","1873-7811","PSYCHOLOGY, CLINICAL","('SSCI',)","22,185","13.7","Q1","2.18","28.97"
"CELL DEATH AND DIFFERENTIATION","1350-9047","1476-5403","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'CELL BIOLOGY')","('SCIE', 'SCIE')","30,898","13.7","('Q1', 'Q1')","1.97","49.80"
"Physics of Life Reviews","1571-0645","1873-1457","('BIOLOGY', 'BIOPHYSICS')","('SCIE', 'SCIE')","2,213","13.7","('Q1', 'Q1')","1.97","39.13"
"Lancet Regional Health-Europe","2666-7762","2666-7762","('HEALTH CARE SCIENCES & SERVICES', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH')","('SCIE', 'SCIE, SSCI')","4,173","13.6","('Q1', 'Q1')","5.59","95.69"
"Energy Economics","0140-9883","1873-6181","ECONOMICS","('SSCI',)","45,860","13.6","Q1","4.32","18.45"
"TRENDS IN GENETICS","0168-9525","1362-4555","GENETICS & HEREDITY","('SCIE',)","13,732","13.6","Q1","1.73","45.85"
"Protein & Cell","1674-800X","1674-8018","CELL BIOLOGY","('SCIE',)","7,515","13.6","Q1","1.47","92.73"
"Lancet Healthy Longevity","2666-7568","2666-7568","GERIATRICS & GERONTOLOGY","('ESCI',)","2,102","13.4","Q1","3.15","77.25"
"Nano Convergence","2196-5404","2196-5404","('MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY', 'PHYSICS, APPLIED')","('SCIE', 'SCIE', 'SCIE')","2,915","13.4","('Q1', 'Q1', 'Q1')","1.20","100.00"
"JOURNAL OF CLINICAL INVESTIGATION","0021-9738","1558-8238","MEDICINE, RESEARCH & EXPERIMENTAL","('SCIE',)","116,288","13.3","Q1","3.45","66.61"
"Chemical Engineering Journal","1385-8947","1873-3212","('ENGINEERING, CHEMICAL', 'ENGINEERING, ENVIRONMENTAL')","('SCIE', 'SCIE')","379,191","13.3","('Q1', 'Q1')","1.88","6.96"
"Computer Science Review","1574-0137","1876-7745","('COMPUTER SCIENCE, INFORMATION SYSTEMS', 'COMPUTER SCIENCE, SOFTWARE ENGINEERING', 'COMPUTER SCIENCE, THEORY & METHODS')","('SCIE', 'SCIE', 'SCIE')","3,805","13.3","('Q1', 'Q1', 'Q1')","1.35","17.86"
"Nano Today","1748-0132","1878-044X","('CHEMISTRY, MULTIDISCIPLINARY', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE', 'SCIE')","17,293","13.2","('Q1', 'Q1', 'Q1')","1.85","10.06"
"OPHTHALMOLOGY","0161-6420","1549-4713","OPHTHALMOLOGY","('SCIE',)","43,813","13.1","Q1","5.14","29.38"
"Nature Protocols","1754-2189","1750-2799","BIOCHEMICAL RESEARCH METHODS","('SCIE',)","52,708","13.1","Q1","3.58","2.37"
"Biochar","2524-7972","2524-7867","('ENVIRONMENTAL SCIENCES', 'SOIL SCIENCE')","('SCIE', 'SCIE')","2,944","13.1","('Q1', 'Q1')","2.36","84.65"
"TRENDS IN IMMUNOLOGY","1471-4906","1471-4981","IMMUNOLOGY","('SCIE',)","16,454","13.1","Q1","1.38","39.91"
"Alzheimers & Dementia","1552-5260","1552-5279","CLINICAL NEUROLOGY","('SCIE',)","28,971","13.0","Q1","3.55","57.34"
"DRUGS","0012-6667","1179-1950","('PHARMACOLOGY & PHARMACY', 'TOXICOLOGY')","('SCIE', 'SCIE')","19,942","13.0","('Q1', 'Q1')","2.99","29.44"
"Journal of Ocean Engineering and Science","2468-0133","2468-0133","('ENGINEERING, MARINE', 'ENGINEERING, OCEAN')","('SCIE', 'SCIE')","2,204","13.0","('Q1', 'Q1')","2.36","97.28"
"Cell Discovery","","2056-5968","CELL BIOLOGY","('SCIE',)","5,607","13.0","Q1","1.93","99.60"
